All_Bonds;SP_500
141,5201;1268,8
142,0357;1273,46
142,1324;1273,48
142,2452;1285,45
142,2342;1290,15
142,0162;1289,69
141,9031;1294,18
142,1828;1286,06
142,1881;1287,61
142,1525;1287,61
142,2757;1282,93
142,2169;1277,93
141,6788;1285,04
141,4306;1261,48
141,3333;1263,83
141,4235;1266,86
141,0288;1264,68
141,0288;1273,83
140,5672;1283,72
140,6623;1285,2
140,7659;1280,09
140,3915;1282,46
140,4388;1270,84
140,7049;1264,03
140,6851;1265,02
140,5165;1254,78
140,686;1265,65
140,9355;1263,78
141,0539;1266,99
140,7163;1262,86
140,8628;1275,53
140,7628;1280
140,7278;1289,38
141,1596;1287,24
141,2518;1287,24
141,2023;1283,03
141,3921;1292,67
140,9643;1287,79
140,8876;1289,43
140,5985;1294,12
140,9816;1280,66
140,7793;1291,24
140,2973;1289,14
140,157;1287,23
140,3303;1278,26
140,209;1275,88
